,AAPL,AMZN,GOOGL,MSFT
2022-01-18,167.66960143435278,158.77857728229665,135.69636034550413,294.97487965822427
2022-01-19,163.8189087528186,155.86785956025523,134.28908475555622,295.905954046862
2022-01-20,162.03421741688072,151.2641864661074,131.41582927194142,293.01655687026835
2022-01-21,160.08491577769672,142.15875996988197,128.98777160550125,290.28250075767625
2022-01-24,158.84127640178573,143.60402848494184,128.35557233824633,286.65536084110806
2022-01-25,157.40046276845246,139.77371230725518,126.15844272906322,283.5789347972074
2022-01-26,157.0745005244669,137.99910431579804,127.52281553525339,286.50293064142954
2022-01-27,156.81806478589306,139.24343249289458,128.60825883393682,291.3666271961136
2022-01-28,166.86822895942694,143.31160788629433,132.6400386939028,299.1184604693447
2022-01-31,171.73197165383272,149.3410352657648,135.2403839508815,301.6676879610679
2022-02-01,172.47482634808628,150.9757873369737,138.35385746703693,302.3457145710568
2022-02-02,173.01143974577494,149.7913252182421,146.83583179841554,303.11618062340847
2022-02-03,171.12670128027077,139.335399954504,145.55034324210223,297.0180858698192
2022-02-04,169.54173807236336,156.045679117486,143.15604472454532,295.9883632249453
2022-02-07,169.78262203828564,158.9109699210154,140.14031869624685,294.7176699334822
2022-02-08,172.18354825841638,160.95365919971505,137.8752267376603,295.95034959207004
2022-02-09,173.6977518667974,161.29229010716898,139.84274261154786,301.33484674325337
2022-02-10,170.15861981495124,158.60579623086198,137.82243074629883,296.7283155799783
2022-02-11,166.6273768428574,153.25784874480019,133.66351901154644,287.5326042100192
2022-02-14,166.60557018420872,155.26252642186037,135.30989677895724,288.80799522996574
2022-02-15,169.8877266944071,155.6235478939574,135.6798096747777,289.9452359143491
2022-02-16,170.1020123429857,158.63946100652552,138.16574345834943,292.97852759655325
2022-02-17,166.94732122092998,154.25384700165222,132.48486255711697,284.61001498669276
2022-02-18,164.97501279559486,152.29323396029827,130.35204909128788,281.7595870144916
2022-02-22,162.0249477856217,149.84351056528348,127.90834071946624,279.8727218744438
2022-02-23,157.91836014496513,144.69321330547533,126.28290778259571,274.8735002529393
2022-02-24,160.119113364393,151.0182514654156,129.9936687356098,285.1209246775632
2022-02-25,162.17920638449107,153.31941748398847,133.46051747264372,288.52453204238907
2022-02-28,162.5640647158033,153.8140487769897,135.50351471203734,292.07850724569863
2022-03-01,160.99151857522247,150.8327863216731,135.00670007070374,287.80650538872135
2022-03-02,164.07514198684632,151.49648720258298,135.92132868508855,293.27757985710565
2022-03-03,163.45774739618824,147.90093258500792,133.6137635828758,287.3274575412825
2022-03-04,161.09208560344638,145.0791030873261,131.65895691425996,285.8184467388433
2022-03-07,157.01408781927665,137.16788118618115,124.64456315358343,272.0671641405058
2022-03-08,155.48602100673835,135.1962260479741,124.88099745110716,270.98820201579025
2022-03-09,159.44105515310392,139.16170037581384,130.04133175070228,277.7200213238545
2022-03-10,156.52208664418242,146.2751179109126,132.14295516455357,279.3669103609704
2022-03-11,152.46998787081444,145.36089958349726,130.70200007497382,273.45562052010433
2022-03-14,148.56868978685947,141.74849230845666,127.46814314297445,270.75087948790576
2022-03-15,152.32141907714373,146.73496282685582,129.3468717473177,278.33703948385926
2022-03-16,156.26576405467398,153.31879553711656,132.02581869504596,284.5064472907973
2022-03-17,158.58656629585758,157.21182614818022,133.36743651743228,289.75764913559675
2022-03-18,161.03993723898938,161.4507050651004,134.38920150834682,290.90096719876135
2022-03-21,163.30582080191178,161.51152060135558,136.35510699605382,293.53887487333077
2022-03-22,165.81030008430668,165.00852723787688,139.1271341260188,294.99945083555536
2022-03-23,168.03996976244915,163.89778624300462,140.0287406929421,294.31700131322157
2022-03-24,171.41945139982673,163.42011520550236,142.01546563964357,295.61335405261053
2022-03-25,172.32906857755103,165.2884044656029,142.84549992320558,296.85351722136085
2022-03-28,173.38854680189658,168.99828041078953,142.0968570716188,303.16043999926086
2022-03-29,176.26677295399364,169.78426085414307,141.87928503710486,306.09186572958413
2022-03-30,175.66261079346765,166.44365999318433,141.96317458068788,308.50744189368874
2022-03-31,172.40343081363068,163.0524922703222,138.17067164104924,300.9357488468439
2022-04-01,172.23928480067246,163.88380848466758,140.06870328753172,304.02315350916297
2022-04-04,175.5909564091961,168.12893341868994,141.7506824393173,305.09359397047
2022-04-05,172.81448775754376,164.62802638888678,141.81388425505685,305.5870294966514
2022-04-06,169.85741862507794,158.55143665015575,137.04107022399555,293.8300056151064
2022-04-07,169.69322813198696,157.6293605915747,136.02379459470586,294.8190926181455
2022-04-08,167.7607535978416,154.41076697274332,132.6374622446306,289.669841062842
2022-04-11,163.4617634686685,150.97627134047818,127.59791707318335,280.56318749326533
2022-04-12,165.35284669663602,150.72535514025148,125.96156651331168,276.17470786191546
2022-04-13,167.45503037785048,154.92991651484854,127.08477588304979,278.93882613193637
2022-04-14,163.22680420431314,152.21958809941717,126.3155964107093,273.9552797500058
2022-04-18,162.67121667932005,152.39577850699237,126.47689886032465,273.9585442426479
2022-04-19,164.90171597308012,157.8173927806348,130.24440405462423,277.2926877081297
2022-04-20,164.5606998623395,154.17041621449957,128.2862143452432,278.40574476986336
2022-04-21,163.82041444424382,148.04363683230028,125.19424498093254,274.97492696154836
2022-04-22,160.02943118837197,144.0715200858985,119.1281345740734,268.8859471503227
2022-04-25,160.03150093189834,145.211578971063,120.04415512973145,271.5915542644261
2022-04-26,154.61986651645222,139.74910698421385,116.8364448649042,265.49386512322764
2022-04-27,154.37948714639643,137.4668730983799,112.11054400067275,274.573131661674
2022-04-28,160.09528248239576,143.46959310008504,116.11590385960933,279.9630130573077
2022-04-29,155.90055437113247,124.6909949065583,113.52638437012077,273.56744763603564
2022-05-02,155.1368067502951,123.09080175053877,115.89425472144549,275.97579518422657
2022-05-03,157.32414201183022,123.81152475704353,117.26034391909876,276.07834008553687
2022-05-04,162.64868683304266,124.7652549984683,121.57445938117799,279.9235911302162
2022-05-05,154.69618934475645,116.56999609111772,117.13532811019184,273.55770885523435
2022-05-06,155.48346558903918,113.15533913076342,114.72305783874326,268.51680356082034
2022-05-09,149.7696498277573,107.99876650686366,111.17808817851822,258.27775068341407
2022-05-10,152.21816771582334,108.30295160514149,111.80029283451131,263.5563001979163
2022-05-11,143.9001348548002,104.30848533573125,111.5383436731489,252.94936335004482
2022-05-12,141.75671418079116,106.21484258139807,111.78605340261689,251.78344230599694
2022-05-13,143.13741060213232,111.90522137235136,114.86917462971134,251.16262907440978
2022-05-16,144.28542994466622,110.87764281777359,115.36260144109106,256.6730802823455
2022-05-17,145.43968710172965,113.8658514332446,116.26250397669887,256.38928472332395
2022-05-18,139.99300309027103,106.81393176678361,112.84143300097705,251.9281706122767
2022-05-19,134.88736130404487,106.42296429143347,109.25030769392569,246.41098088909396
2022-05-20,135.31153656424297,106.81321095502649,107.23784251405425,246.4429593990846
2022-05-23,140.23450882028274,106.84506196974489,108.56261385475567,253.7904305348154
